Project Name,Job Number,Project Phase,General Contractor,Account (Trusses),Installer,Project Location: State/Region,# of Loads,Steel Weight,$ Deck Only,Est. Man Hours,$ Total Furnish + Install,Est Delivery Start,$ Est. GP (Furnish),$ Est. GP  (Install)
Norwin Stadium Improvements,25105,Shop Drawings Pending,"R.A. Glancy & Sons, Inc.","R.A. Glancy & Sons, Inc.",TruTek,Pennsylvania,6,41500,,618,"$255,649 ",10/13/2025,"$29,717 ","$37,986 "
Andrews AFB CDC,22174,Shop Drawings Sent,Harkins Builders,Harkins Builders,SK,Maryland,6,50186,"$90,128 ",814,"$288,431 ",3/31/2025,"$81,928 ",
HVAMC Construct Rehab Facility,23270,Shop Drawings Sent,TDSC,TDSC,TruTek,Virginia,3,17031,"$51,923 ",332,"$206,706 ",12/1/2025,"$36,632 ","$24,347 "
Citadel Care Centers Senior Health,23294,Shop Drawings Sent,,Jacob Companies,TruTek,Florida,14,94500,"$284,889 ",1156,"$1,041,914 ",9/15/2025,"$151,002 ","$120,760 "
Sanstone Health & Rehab,23331,Shop Drawings Sent,Harper General Contractors,Harper General Contractors,TruTek,North Carolina,28,188130,"$192,877 ",3946,"$1,435,476 ",5/12/2025,"$200,000 ","$118,204 "
Gateway Administration Bldg,24068,Shop Drawings Sent,Owen-Ames-Kimball Co.,Owen-Ames-Kimball Co.,TruTek,Florida,2,14320,"$27,740 ",268,"$154,063 ",9/8/2025,"$20,945 ","$15,685 "
Pikeville Water Treatment,24156,Shop Drawings Sent,,Southeastern Drywall,TruTek,Tennessee,1,4210,,82,"$62,074 ",8/18/2025,"$8,895 ","$11,832 "
Fannin County HS Athletic Complex,24175,Shop Drawings Sent,,"Cherokee Acoustical, LLC",TruTek,Georgia,2,12000,,226,"$74,713 ",7/14/2025,"$16,075 ","$8,484 "
Emerald Terraces and Wellness Center,24283,Shop Drawings Sent,Clancy & Theys- Winter Garden,Clancy & Theys- Winter Garden,TruTek,Florida,8,46330,"$105,445 ",953,"$528,698 ",8/4/2025,"$75,910 ","$62,831 "
Jennie Dean Elementary School,24299,Shop Drawings Sent,,Merc Construction,Merc,Virginia,8,89500,"$84,018 ",1008,"$349,322 ",6/16/2025,"$79,026 ",
Carter House New Visitor Center 2024,24316,Shop Drawings Sent,"Baron Construction, LLC","Baron Construction, LLC",TruTek,Tennessee,2,12232,"$14,690 ",118,"$98,366 ",8/18/2025,"$13,620 ","$13,590 "
Newton Co Athletic Complexes,24351,Shop Drawings Sent,,"Simco Interiors, Inc. ",TruTek,Georgia,12,96000,,1668,"$737,182 ",8/18/2025,"$107,427 ","$83,511 "
Baker School Classroom Addition,25070,Shop Drawings Sent,Lord & Son Construction,Lord & Son Construction,TruTek,Florida,3,20269,"$32,177 ",247,"$178,095 ",9/15/2025,"$27,445 ","$16,616 "
